dataset,sample,sample_label,malignant_threshold,variable,variable_type,n_spots,n_low,n_high,low_snai1ac_threshold,high_snai1ac_threshold,low_mean,high_mean,high_minus_low,cohens_d
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_APOPTOSIS_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.08787609763602275,-0.05483420231474313,0.033041895321279616,0.033770482418105534
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_BILE_ACID_METABOLISM_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.1430360087458762,0.8594268503379268,1.002462859083803,1.0602671847195497
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_CHOLESTEROL_HOMEOSTASIS_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.12906172357326237,-0.37208302750691735,-0.5011447510801798,-0.5554437502808133
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_COAGULATION_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.4718617162624568,-0.5488708436891103,-1.020732559951567,-1.012252492421142
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_COMPLEMENT_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.0016481051975704027,0.305725518191249,0.3073736233888194,0.3065692400024566
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_DNA_REPAIR_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.13400616205542262,-0.38623353289761353,-0.5202396949530361,-0.5700288856854029
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_E2F_TARGETS_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.013262550419217591,-0.09418676599569135,-0.10744931641490894,-0.10283671561854812
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.2768164260905515,-0.3848789610210422,-0.6616953871115937,-0.697252338493605
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_ESTROGEN_RESPONSE_EARLY_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.08902331874780417,0.39702436303642347,0.48604768178422764,0.5251379208635701
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_ESTROGEN_RESPONSE_LATE_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.09707058147848807,0.14376133144752512,0.04669074996903705,0.04832638068716122
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_FATTY_ACID_METABOLISM_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.054966449195187776,0.8070707331744068,0.8620371823695946,0.912022223200898
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_G2M_CHECKPOINT_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,-0.11159407068202322,0.1434637215076384,0.2550577921896616,0.26650844959540976
denisenko_2022,SP8,denisenko_2022__SP8,0.2,HALLMARK_GLYCOLYSIS_score,hallmark,1740,435,435,-0.3248880335556721,1.0024586897727725,0.2571522848254009,-0.4894974650338631,-0.746649749859264,-0.8576519889393159
