cell_type,spearman_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
cDC,-0.0347241452993187,0.1962061956923416,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
pDC,-0.1082154265922017,5.380823631302065e-05,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Macrophage,-0.1297637802266612,1.241615622805113e-06,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Mast,-0.1178797521559114,1.0749200183034642e-05,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Neutrophil,0.0345255895750906,0.1987778463870625,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Unidentifiable,0.0103744657333291,0.6994725648739455,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Malignant,0.2498861461917137,1.710594849877493e-27,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
CAF,-0.3700984852084058,1.3524240182992122e-60,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Endothelial,-0.0486652827547294,0.0372196422494315,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Plasma,-0.0106878596405584,0.6474654044550903,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
B cell,-0.0911891523027134,9.244304284066482e-05,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
T CD4,0.0492510158488618,0.0349919145771386,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
T CD8,0.0020818104462082,0.9290270816393972,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
NK,-0.0352403613768514,0.1315022781653987,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
cDC,0.0557582277440718,0.0169663300273161,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
pDC,0.0895313977917203,0.0001239131562187,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Macrophage,-0.1774983711420322,1.932945508613833e-14,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Mast,0.184564994464013,1.6520734569370097e-15,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Neutrophil,0.143912716668256,6.037234676293741e-10,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Unidentifiable,0.1452409843587773,4.1789515644973964e-10,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Malignant,0.1254586105280865,1.4621587425278444e-08,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
CAF,-0.0744793564966232,0.0007936786452635,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
