review_role,selected_k,analysis_tier,feature_method,sample,dataset,relationship,stratum,variant,variant_label,spearman_rho,spearman_pvalue,n_spots
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_total_counts,all,,,0.416731412348311,2.3335902932540915e-84,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_n_genes_by_counts,all,,,0.3798972379186179,2.858789466296564e-69,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_n_genes,all,,,0.3798972379186179,2.858789466296564e-69,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_n_counts,all,,,0.416731412348311,2.3335902932540915e-84,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,isodepth_vs_Malignant,all,,,0.3083752494133104,4.660026498674477e-45,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_corrected,Smoothed corrected vs Unsmoothed corrected,0.3693503922819661,2.708236279694169e-65,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Smoothed corrected vs Unsmoothed uncorrected,0.22834839295234075,6.252312695008505e-25,1988
usable,5,primary_glmpca,glmpca,SP5,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_unsmoothed_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Unsmoothed corrected vs Unsmoothed uncorrected,0.862632326140206,0.0,1988
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,all,snai1ac_em_smooth_corrected,Smoothed corrected,0.4377069323062988,3.461423254417393e-83,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.2766092998514484,3.042069787137903e-32,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.34741072577468723,4.918710539531018e-51,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_smooth_corrected,Smoothed corrected,0.1327807178287186,0.00035694073694776847,719
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.042470940631202686,0.25538990897952246,719
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.11976014478997576,0.0012941761743086337,719
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_smooth_corrected,Smoothed corrected,0.18287644053483065,9.054968519453897e-05,453
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.09711896906540443,0.03880620763087964,453
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.1558773593799791,0.0008720046491461471,453
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_smooth_corrected,Smoothed corrected,0.4629399958167161,1.832946597040842e-32,586
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.26087593432512635,1.4265573760469257e-10,586
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.23037230908505885,1.6920166673511735e-08,586
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_total_counts,all,,,0.5988871260597367,1.3241572174534957e-171,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_n_genes_by_counts,all,,,0.5851004608288016,5.196226670332318e-162,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_n_genes,all,,,0.5851004608288016,5.196226670332318e-162,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_n_counts,all,,,0.5988871260597367,1.3241572174534957e-171,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,isodepth_vs_Malignant,all,,,0.5675653883872188,1.8679656769487704e-150,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_corrected,Smoothed corrected vs Unsmoothed corrected,0.4325965012246424,4.32935129117007e-81,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Smoothed corrected vs Unsmoothed uncorrected,0.40013516238585994,1.3939267651962495e-68,1758
usable_qc_caveat,4,primary_glmpca,glmpca,SP6,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_unsmoothed_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Unsmoothed corrected vs Unsmoothed uncorrected,0.9412045559841599,0.0,1758
supplementary_pearson_usable,4,supplementary_pearson,pearson,SP7,denisenko_2022,isodepth_vs_score,all,snai1ac_em_smooth_corrected,Smoothed corrected,0.041939463945496386,0.014145301568792115,3422
